accountId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
36191713,NONE,JUNGLE,0,0,0,0,15,True,9,9,12175,12025,141251,28860,101959,10430,14107,1179,12213,714,0,388,21,786,15934,31678,17781,13616,280,6512,1,0,0,3038,15462,27,78,53,25,6,0,0,0,0,1,1,3,35,12,4,0,6
205423977,SOLO,MIDDLE,0,0,0,0,16,True,15,5,12584,9075,138922,14640,121535,2747,21384,1610,18610,1163,0,427,49,677,12570,26177,10684,15164,328,12802,4,0,0,1738,6204,198,1,1,0,3,0,0,0,0,1,1,2,32,16,2,0,1
203126026,DUO_SUPPORT,BOTTOM,0,0,0,0,15,True,20,2,11189,8550,15918,3643,10750,1524,3470,673,2391,404,0,126,34,940,7296,11490,6371,4807,312,12219,18,0,0,1271,2881,23,0,0,0,1,0,0,0,0,1,0,0,61,20,11,0,2
43779426,SOLO,TOP,0,0,0,0,16,False,10,8,11863,11150,141637,113172,27804,660,20841,14756,5424,660,992,70,27,505,22330,25319,13519,8038,3761,5011,1,1,0,177,4597,217,7,5,2,3,0,0,0,0,1,0,0,32,14,3,0,2
206165229,DUO,BOTTOM,0,0,0,0,13,False,11,5,9355,8850,28307,8128,20179,0,8207,1493,6714,0,0,182,50,717,33925,21042,13593,7199,250,2580,5,0,0,910,1439,53,0,0,0,2,0,0,0,0,1,0,0,57,21,8,0,0
200881251,DUO,BOTTOM,0,0,0,0,14,False,8,8,12176,11975,139011,131393,4495,3121,25357,23658,1534,164,641,223,5,528,14562,27852,17761,9863,228,3784,4,1,0,1862,9720,185,7,3,4,7,1,0,0,0,2,2,3,14,7,2,0,1
207637718,SOLO,MIDDLE,0,0,0,0,16,False,4,5,15069,12700,182118,14434,167236,448,27768,726,26913,128,0,69,6,1021,15667,15864,7876,7988,0,1623,1,1,0,3577,6852,234,18,17,1,12,0,0,0,0,1,3,5,45,13,2,0,2
201114720,NONE,JUNGLE,0,0,0,0,16,False,7,3,11733,11120,186411,34966,134155,17288,12976,1211,11600,164,533,946,36,926,39321,39324,27778,10993,552,23031,1,0,0,0,17794,38,130,70,60,4,0,0,0,0,1,1,3,40,18,6,0,3
282573,SOLO,MIDDLE,0,0,0,0,11,True,6,0,8217,7025,50228,46054,3437,736,14261,12569,1116,576,0,68,4,0,3739,8532,5653,2481,397,299,1,1,1,3673,3673,89,0,0,0,6,0,0,0,0,1,1,6,7,5,1,0,1
207637718,DUO_CARRY,BOTTOM,0,0,0,0,11,True,6,2,10751,7950,102598,87497,13784,1316,18963,16565,1977,420,1058,157,18,516,3109,7652,5772,1750,130,1302,2,3,1,9095,9095,150,1,1,0,7,1,0,0,0,2,2,4,13,7,2,0,0
